application_number,advice_date,ego_examiner_id,alter_examiner_id
9402488,17/11/2008,84356.0,66266.0
9402488,17/11/2008,84356.0,63519.0
9402488,17/11/2008,84356.0,98531.0
9445135,21/08/2008,92953.0,93865.0
9445135,21/08/2008,92953.0,91818.0
9484331,07/02/2008,72253.0,61519.0
9484331,07/02/2008,72253.0,72253.0
9484331,07/02/2008,72253.0,67515.0
9489652,10/01/2008,67078.0,75772.0
9489652,10/01/2008,67078.0,97328.0
9491624,29/05/2008,91688.0,71059.0
9491624,29/05/2008,91688.0,67669.0
9495207,25/04/2008,61797.0,96691.0
9495207,25/04/2008,61797.0,78036.0
9498396,25/01/2008,94270.0,81337.0
9498396,25/07/2008,94270.0,81337.0
9498396,25/01/2008,94270.0,66927.0
9498396,25/07/2008,94270.0,66927.0
9501716,23/12/2008,73223.0,92537.0
9504236,25/02/2008,94270.0,97655.0
9504236,30/10/2008,94270.0,97655.0
9504236,25/02/2008,94270.0,81337.0
9504236,25/02/2008,94270.0,66927.0
9505951,03/01/2008,60128.0,69459.0
9547288,22/02/2008,75772.0,99395.0
9547288,22/09/2008,75772.0,99395.0
9547288,22/02/2008,75772.0,77746.0
9547288,22/09/2008,75772.0,77746.0
9553337,21/03/2008,67713.0,77746.0
9553337,21/03/2008,67713.0,73567.0
9556062,23/04/2008,67713.0,73567.0
9566800,25/09/2008,90730.0,76536.0
9568215,24/07/2008,66805.0,92028.0
9577489,28/10/2008,82105.0,70571.0
9582808,01/04/2008,97910.0,59738.0
9582808,01/04/2008,97910.0,99004.0
9582808,01/04/2008,97910.0,67669.0
9586410,19/03/2008,63657.0,87028.0
9588828,14/07/2008,59397.0,73191.0
9589200,16/06/2008,63657.0,92028.0
9589200,16/06/2008,63657.0,87028.0
9590417,29/05/2008,67355.0,94120.0
9591621,03/04/2008,96663.0,60986.0
9596629,02/07/2008,92763.0,62242.0
9602034,24/04/2008,85308.0,64243.0
9602576,02/01/2008,64572.0,72086.0
9603601,22/12/2008,77761.0,74211.0
9603601,22/12/2008,77761.0,75373.0
9606786,26/02/2008,75973.0,62242.0
9609690,29/04/2008,73119.0,70835.0
9609690,29/04/2008,73119.0,69643.0
9613123,08/12/2008,88496.0,85308.0
9617036,01/05/2008,96021.0,65231.0
9618956,01/05/2008,67570.0,62690.0
9630798,07/10/2008,64572.0,85084.0
9630896,21/08/2008,98330.0,95726.0
9633801,23/12/2008,97728.0,69002.0
9633801,23/12/2008,97728.0,68227.0
9640103,28/05/2008,68584.0,74114.0
9649215,06/06/2008,97590.0,66905.0
9652360,19/03/2008,72099.0,85990.0
9652502,24/07/2008,73119.0,90049.0
9657956,07/01/2008,66885.0,63843.0
9657956,07/01/2008,66885.0,74114.0
9658298,09/04/2008,75919.0,79585.0
9659258,22/05/2008,91818.0,69502.0
9659643,15/08/2008,91989.0,72814.0
9659643,15/08/2008,91989.0,71059.0
9660005,10/11/2008,68593.0,73528.0
9662849,29/10/2008,65547.0,95660.0
9662849,29/10/2008,65547.0,66762.0
9665241,30/01/2008,60802.0,67389.0
9665241,30/01/2008,60802.0,92028.0
9670119,18/04/2008,68450.0,62033.0
9670119,18/04/2008,68450.0,98905.0
9671571,28/11/2008,75973.0,76536.0
9672204,17/10/2008,66685.0,64243.0
9676727,29/05/2008,96663.0,60986.0
9676727,29/05/2008,96663.0,66030.0
9678573,07/04/2008,75929.0,98108.0
9679320,25/01/2008,59397.0,62188.0
9679691,09/07/2008,84860.0,92464.0
9681585,11/07/2008,70581.0,59738.0
9681585,11/07/2008,70581.0,99004.0
9681585,11/07/2008,70581.0,96339.0
9681585,11/07/2008,70581.0,67256.0
9683599,08/01/2008,88496.0,88496.0
9683902,27/02/2008,60802.0,74333.0
9688006,09/07/2008,96663.0,60986.0
9692350,27/03/2008,95938.0,67389.0
9692350,27/03/2008,95938.0,79585.0
9692350,27/03/2008,95938.0,70835.0
9694297,12/03/2008,90049.0,85057.0
9694297,12/03/2008,90049.0,69090.0
9695402,11/12/2008,99654.0,98738.0
9700099,08/09/2008,60837.0,63938.0
9700099,08/09/2008,60837.0,98804.0
9703034,12/06/2008,84460.0,69002.0
9704054,12/06/2008,73364.0,72814.0
9704054,12/06/2008,73364.0,98081.0
9704384,13/06/2008,90049.0,76536.0
9704384,13/06/2008,90049.0,62242.0
9707410,22/01/2008,77656.0,83334.0
9708722,12/06/2008,75772.0,59052.0
9708722,12/06/2008,75772.0,77746.0
9709170,11/12/2008,94257.0,77869.0
9709170,11/12/2008,94257.0,62312.0
9709170,11/12/2008,94257.0,63244.0
9709234,09/01/2008,72573.0,68460.0
9709234,17/12/2008,72573.0,98738.0
9709234,17/12/2008,72573.0,90049.0
9709234,16/07/2008,72573.0,90049.0
9709234,17/12/2008,72573.0,79585.0
9710646,05/05/2008,95600.0,90049.0
9714351,13/06/2008,61417.0,82244.0
9714351,13/06/2008,61417.0,72004.0
9715725,13/06/2008,70204.0,72882.0
9715725,13/06/2008,70204.0,94911.0
9717019,01/08/2008,72573.0,71487.0
9717262,05/12/2008,99654.0,98738.0
9717529,01/05/2008,99182.0,97943.0
9717529,01/05/2008,99182.0,92201.0
9718355,06/05/2008,71120.0,65790.0
9718803,26/03/2008,59338.0,72882.0
9720537,14/04/2008,68425.0,62540.0
9722742,12/12/2008,60623.0,92464.0
9727984,03/11/2008,66805.0,66400.0
9728073,02/10/2008,64473.0,89344.0
9728442,14/03/2008,97728.0,77825.0
9729653,24/01/2008,61757.0,65024.0
9729653,24/01/2008,61757.0,72882.0
9736232,24/01/2008,96663.0,69002.0
9736232,07/10/2008,96663.0,69002.0
9736232,24/01/2008,96663.0,68227.0
9736232,07/10/2008,96663.0,68227.0
9736232,07/10/2008,96663.0,80823.0
9736232,24/01/2008,96663.0,60986.0
9736232,07/10/2008,96663.0,60986.0
9736298,20/02/2008,94230.0,66096.0
9737050,10/04/2008,97703.0,60579.0
9737050,10/04/2008,97703.0,94120.0
9738292,12/11/2008,88496.0,75919.0
9738852,12/03/2008,95938.0,67389.0
9739317,16/06/2008,63657.0,92028.0
9739317,16/06/2008,63657.0,87028.0
9739397,02/01/2008,65885.0,70835.0
9740221,08/02/2008,75973.0,76536.0
9740221,30/09/2008,75973.0,76536.0
9740221,30/09/2008,75973.0,62242.0
9740345,30/04/2008,62778.0,99217.0
9740528,13/05/2008,72573.0,98738.0
9740528,13/05/2008,72573.0,71487.0
9743653,10/07/2008,60128.0,69459.0
